observed_at,reason,pool_max_open,pool_open,pool_in_use,pool_idle,pool_wait_count,pool_wait_duration_ms,in_flight_callbacks,stalled_in_flight,oldest_in_flight_age_ms,in_flight_current_phase
2026-08-23T13:01:48.065721702Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:02:23.065381479Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:02:53.065804151Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:03:28.065362984Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:03:58.065944064Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:04:33.065904877Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:05:08.065544633Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:05:43.066082914Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:06:13.066117025Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:06:48.066066201Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:07:18.066091534Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:07:53.065727749Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:08:28.065604473Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:08:58.066056334Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:09:33.065967865Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:10:08.066017268Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:10:43.065073418Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:11:13.065087236Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:11:43.066073886Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:12:18.06515969Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:12:53.065101015Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:13:23.065824993Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:13:58.065188174Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:14:33.065546762Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:15:03.065924725Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:15:38.065061602Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:16:08.065750086Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:16:43.065077505Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:17:13.065515728Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:17:43.065542919Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:18:13.066053825Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:18:48.065616495Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:19:23.065609946Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:19:58.065251219Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:20:33.066042704Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:21:08.065075893Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:21:38.06585586Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:22:13.065634419Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:22:48.065142461Z,periodic,32,4,1,3,0,0.000000,0,0,0.000000,
2026-08-23T13:23:18.06590688Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
2026-08-23T13:23:53.065073532Z,periodic,32,6,4,2,0,0.000000,0,0,0.000000,
2026-08-23T13:24:23.06598043Z,periodic,32,4,0,4,0,0.000000,0,0,0.000000,
